id,title,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
19995,Avatar,0.01646111,0.0032131006,0.004108078,0.035822295,0.26210967,0.01099836,0.026554577,0.0105445525,0.011799698,0.10796413,0.02626742,0.007256075,0.005497731,0.0031036118,0.011269724,0.002586572,0.0049809823,0.005284017,0.004248862,0.007657908,0.03590311,0.003066214,0.30573756,0.006497507,0.0055089933,0.07038558,0.005172409
285,Pirates of the Caribbean: At World's End,0.0030278454,0.001330575,0.0016084503,0.029106382,0.03565208,0.0025171665,0.037853017,0.0027836855,0.0023893353,0.50873387,0.09127271,0.0037836754,0.0076407087,0.0015722725,0.0055068294,0.0012631968,0.003047804,0.0026410827,0.0020149343,0.0076138587,0.012223899,0.0008088379,0.14519611,0.0045196726,0.005107067,0.07302238,0.0077625643
206647,Spectre,0.015640197,0.0064981617,0.009774083,0.033398714,0.17466809,0.010048681,0.019194866,0.009213122,0.009680065,0.032711502,0.017442519,0.023584142,0.009815449,0.009582311,0.32278565,0.0014859493,0.004765697,0.00598448,0.0036992016,0.019957747,0.024512764,0.0027835655,0.17000148,0.0042189034,0.0026416278,0.04404711,0.011863976
49026,The Dark Knight Rises,0.022063969,0.009909769,0.015040749,0.045466304,0.13444695,0.0092338445,0.0041876193,0.0015576163,0.012762738,0.04369799,0.0109933065,0.024124388,0.014357329,0.009121046,0.077960126,0.0039536143,0.011543992,0.010824521,0.0044696406,0.009538319,0.030111391,0.012183076,0.38077402,0.011761592,0.005908243,0.07018684,0.013821035
49529,John Carter,0.02541162,0.002449925,0.0019535776,0.011030075,0.106925756,0.0056224554,0.007275667,0.0024184193,0.0028649762,0.07312019,0.0052946624,0.003086642,0.0087637035,0.002067506,0.010716196,0.0026245513,0.012171577,0.0044214,0.002862175,0.00781651,0.010982585,0.0050037904,0.5252008,0.01132927,0.007545255,0.1271387,0.013901973
559,Spider-Man 3,0.053951446,0.023870043,0.022563422,0.0695213,0.27479413,0.020158473,0.0109250415,0.0075244284,0.016204454,0.049227733,0.025837837,0.026592307,0.010975607,0.029738458,0.025988812,0.0066236993,0.007543023,0.037205495,0.022804959,0.006924257,0.027246648,0.0090824915,0.13968283,0.009456196,0.0070798616,0.046773355,0.011703694
38757,Tangled,0.20856218,0.0027382353,0.0025356389,0.007511631,0.11663453,0.0031070467,0.05422402,0.47316688,0.011121801,0.0052549783,0.0048054545,0.0033033579,0.00107231,0.03509088,0.0031972392,0.00045215536,0.0007403568,0.0042274036,0.010770869,0.0014916218,0.011316767,0.00086063315,0.014850247,0.00082663563,0.00073865283,0.003280848,0.018117636
99861,Avengers: Age of Ultron,0.006721049,0.0013596948,0.0018855191,0.036462802,0.040345445,0.0024731937,0.007015793,0.0043047527,0.009178741,0.56916285,0.02886851,0.004001466,0.0069207284,0.0063724206,0.01755061,0.0005409958,0.0028170745,0.0026357567,0.0011113096,0.010290859,0.050440125,0.0014315579,0.108966075,0.0043431064,0.002590865,0.055936273,0.016272467
767,Harry Potter and the Half-Blood Prince,0.034780283,0.0115017705,0.0050575603,0.02255242,0.34792244,0.007902955,0.014535068,0.007977063,0.008066351,0.012172649,0.006508144,0.012741577,0.0058740894,0.01985142,0.021900833,0.0027643102,0.0033240467,0.02112862,0.010734954,0.0064503113,0.017317694,0.0049855397,0.35876325,0.0072638774,0.002297966,0.015531698,0.010093044
209112,Batman v Superman: Dawn of Justice,0.009806528,0.0018628172,0.0040462096,0.013978404,0.09188729,0.008706029,0.0075575747,0.0020509295,0.008643285,0.018825324,0.010333346,0.0061511425,0.0025352258,0.006505445,0.6175,0.00092541135,0.0024577628,0.0034053754,0.0015102708,0.040808547,0.038743693,0.0022718515,0.07223611,0.0035177001,0.0011038405,0.017362162,0.0052679065
1452,Superman Returns,0.00680114,0.011892326,0.007280085,0.0370093,0.05785026,0.0038694742,0.0054156715,0.005316307,0.008317652,0.066442266,0.0066978466,0.014440808,0.016907966,0.008994135,0.0401508,0.0014860902,0.014720573,0.008511105,0.004306535,0.01182773,0.013131264,0.0030900864,0.4099077,0.00791096,0.004568657,0.1706864,0.052466873
10764,Quantum of Solace,0.021018166,0.0051750774,0.011259854,0.04013088,0.30584502,0.014940162,0.012943269,0.007827758,0.014128024,0.060300317,0.019759916,0.024659483,0.009185272,0.009610949,0.08093774,0.0018978723,0.006744744,0.006610784,0.010739271,0.013415264,0.024425516,0.0037338946,0.19748151,0.0056885215,0.0048530027,0.07948097,0.0072066095
58,Pirates of the Caribbean: Dead Man's Chest,0.015929341,0.011273683,0.016177207,0.073504455,0.18969177,0.053221382,0.0072114985,0.0034454397,0.01765435,0.08072683,0.07643029,0.03201401,0.01337602,0.0056712977,0.03180532,0.010892083,0.01147107,0.013192505,0.006309005,0.00913267,0.037822537,0.0060845558,0.12814055,0.014691134,0.01756022,0.11251176,0.004058965
57201,The Lone Ranger,0.03134939,0.009187922,0.02641584,0.05229966,0.16598709,0.01729157,0.009250092,0.0052050985,0.021030013,0.053017218,0.015617021,0.026517317,0.008689853,0.011050593,0.12616266,0.0030636492,0.015227826,0.016707582,0.006031132,0.015022205,0.029795019,0.007890586,0.15717258,0.009711622,0.004922759,0.14399844,0.011385221
49521,Man of Steel,0.11018671,0.0006838967,0.0011832307,0.004410251,0.17505437,0.014196961,0.018758897,0.015386463,0.027272748,0.014891197,0.006019868,0.0017420982,0.0011460765,0.008129053,0.014195107,0.0021625897,0.0020769618,0.0025222413,0.0021021748,0.004032834,0.38655236,0.0047216397,0.1445857,0.0035556478,0.0019878251,0.007825917,0.024617305
2454,The Chronicles of Narnia: Prince Caspian,0.1191303,0.0023243346,0.002869817,0.02191711,0.18888062,0.018272826,0.0024837654,0.0021510005,0.10663051,0.06846853,0.009423761,0.007911632,0.0035692079,0.029871512,0.040296018,0.008065685,0.0070796595,0.016487189,0.0027708947,0.012802807,0.12610729,0.018682295,0.10825369,0.017815663,0.0038332073,0.04487037,0.009030326
24428,The Avengers,0.009596536,0.0024725762,0.0066257273,0.033498194,0.08541541,0.015619423,0.004342225,0.003169207,0.051786844,0.07315617,0.015688755,0.0097395815,0.0045521697,0.018059015,0.29753304,0.0017319274,0.005363484,0.004988263,0.0026021712,0.03187672,0.12533261,0.003890773,0.10669239,0.0060304813,0.0031250743,0.046333984,0.030777292
1865,Pirates of the Caribbean: On Stranger Tides,0.00356667,0.002173225,0.0015521033,0.0073569166,0.025295505,0.0017164366,0.47606432,0.025894238,0.0019531111,0.019889604,0.006796883,0.0022356322,0.0060723564,0.0066782325,0.02717319,0.0010883565,0.002041606,0.0059964554,0.004117666,0.017380113,0.010861716,0.0010883491,0.22340262,0.0033127875,0.0025991485,0.009304498,0.1043883
